sku_x,name,product_id,status,sku_y
,,310271360,Enabled,310271360
,,312331070,Enabled,312331070
,,306143380,Enabled,306143380
,,331739320,Enabled,331739320
,,165902420,Enabled,165902420
,,114934010,Enabled,114934010
,,178307360,Enabled,178307360
,,846627290,Enabled,846627290
,,300766130,Enabled,300766130
,,183000400,Enabled,183000400
,,401475060,Enabled,401475060
,,339454380,Enabled,339454380
,,457161060,Enabled,457161060
,,340769090,Enabled,340769090
,,100881380,Enabled,100881380
,,336739110,Enabled,336739110
,,204072120,Enabled,204072120
,,100849440,Enabled,100849440
,,466772080,Enabled,466772080
,,800790260,Enabled,800790260
,,338406130,Enabled,338406130
,,501053000,Enabled,501053000
,,338879150,Enabled,338879150
,,880972230,Enabled,880972230
,,813953270,Enabled,813953270
,,319139130,Enabled,319139130
,,707336010,Enabled,707336010
,,101725400,Enabled,101725400
,,809806250,Enabled,809806250
,,306654130,Enabled,306654130
,,505466003,Enabled,505466003
,,463749140,Enabled,463749140
,,203156090,Enabled,203156090
,,462177080,Enabled,462177080
,,474377060,Enabled,474377060
,,501603018,Enabled,501603018
,,500716010,Enabled,500716010
,,152038340,Enabled,152038340
,,100453380,Enabled,100453380
,,706606010,Enabled,706606010
,,339953320,Enabled,339953320
,,503747350,Enabled,503747350
,,258500100,Enabled,258500100
,,313120050,Enabled,313120050
,,250311040,Enabled,250311040
,,806679290,Enabled,806679290
,,156637380,Enabled,156637380
,,817058255,Enabled,817058255
,,296549040,Enabled,296549040
,,318511010,Enabled,318511010
,,718256010,Enabled,718256010
,,318215050,Enabled,318215050
,,338205110,Enabled,338205110
,,501672024,Enabled,501672024
,,316294090,Enabled,316294090
,,501881010,Enabled,501881010
,,743416050,Enabled,743416050
,,800702300,Enabled,800702300
,,101136360,Enabled,101136360
,,319440340,Enabled,319440340
,,347252130,Enabled,347252130
,,805572270,Enabled,805572270
,,164492330,Enabled,164492330
,,170155300,Enabled,170155300
,,204396180,Enabled,204396180
,,142782360,Enabled,142782360
,,810647220,Enabled,810647220
,,114225280,Enabled,114225280
,,307520130,Enabled,307520130
,,502728300,Enabled,502728300
,,480261080,Enabled,480261080
,,261783090,Enabled,261783090
,,402808140,Enabled,402808140
,,814970260,Enabled,814970260
,,403589140,Enabled,403589140
,,309976320,Enabled,309976320
,,317349130,Enabled,317349130
,,320488323,Enabled,320488323
,,202348160,Enabled,202348160
,,863399270,Enabled,863399270
,,335024010,Enabled,335024010
,,812942280,Enabled,812942280
,,809033220,Enabled,809033220
,,112206420,Enabled,112206420
,,507703300,Enabled,507703300
,,329185300,Enabled,329185300
,,337253110,Enabled,337253110
,,321776150,Enabled,321776150
,,177507380,Enabled,177507380
,,152744010,Enabled,152744010
,,100664400,Enabled,100664400
,,300710070,Enabled,300710070
,,800836280,Enabled,800836280
,,307208380,Enabled,307208380
,,570733018,Enabled,570733018
,,816035260,Enabled,816035260
,,809488250,Enabled,809488250
,,817204300,Enabled,817204300
,,184177010,Enabled,184177010
,,117024010,Enabled,117024010
,,805879220,Enabled,805879220
,,378682130,Enabled,378682130
,,501107200,Enabled,501107200
,,313464110,Enabled,313464110
,,252638100,Enabled,252638100
,,339071010,Enabled,339071010
,,264638090,Enabled,264638090
,,801112225,Enabled,801112225
,,805617260,Enabled,805617260
,,584616024,Enabled,584616024
,,816271310,Enabled,816271310
,,172507420,Enabled,172507420
,,720551010,Enabled,720551010
,,808560230,Enabled,808560230
,,389487070,Enabled,389487070
,,106006322,Enabled,106006322
,,109666440,Enabled,109666440
,,110134420,Enabled,110134420
,,202183080,Enabled,202183080
,,156455420,Enabled,156455420
,,581633200,Enabled,581633200
,,319090110,Enabled,319090110
,,800636230,Enabled,800636230
,,815490255,Enabled,815490255
,,586850024,Enabled,586850024
,,350972010,Enabled,350972010
,,800744210,Enabled,800744210
,,401461160,Enabled,401461160
,,326650380,Enabled,326650380
,,166457400,Enabled,166457400
,,508232024,Enabled,508232024
,,338106320,Enabled,338106320
,,878250280,Enabled,878250280
,,100893400,Enabled,100893400
,,474705180,Enabled,474705180
,,502563012,Enabled,502563012
,,300382360,Enabled,300382360
,,815442250,Enabled,815442250
,,559972010,Enabled,559972010
,,718232010,Enabled,718232010
,,302296130,Enabled,302296130
,,179972360,Enabled,179972360
,,102915010,Enabled,102915010
,,334425383,Enabled,334425383
,,112635360,Enabled,112635360
,,732950010,Enabled,732950010
,,805071220,Enabled,805071220
,,584933018,Enabled,584933018
,,812284290,Enabled,812284290
,,204118040,Enabled,204118040
,,264083060,Enabled,264083060
,,808323170,Enabled,808323170
,,328915110,Enabled,328915110
,,313643380,Enabled,313643380
,,309784400,Enabled,309784400
,,306758010,Enabled,306758010
,,807022250,Enabled,807022250
,,809245240,Enabled,809245240
,,801143260,Enabled,801143260
,,391382300,Enabled,391382300
,,466833100,Enabled,466833100
,,368302090,Enabled,368302090
,,259677140,Enabled,259677140
,,505576010,Enabled,505576010
,,112961380,Enabled,112961380
,,319409400,Enabled,319409400
,,101564340,Enabled,101564340
,,769444010,Enabled,769444010
,,321197300,Enabled,321197300
,,178962400,Enabled,178962400
,,506831010,Enabled,506831010
,,805775290,Enabled,805775290
,,356512340,Enabled,356512340
,,319456320,Enabled,319456320
,,151352320,Enabled,151352320
,,716846010,Enabled,716846010
,,308043130,Enabled,308043130
,,808184230,Enabled,808184230
,,116680300,Enabled,116680300
,,311215340,Enabled,311215340
,,510701030,Enabled,510701030
,,256099060,Enabled,256099060
,,170333420,Enabled,170333420
,,122447360,Enabled,122447360
,,246722080,Enabled,246722080
,,114268320,Enabled,114268320
,,329493070,Enabled,329493070
,,503913020,Enabled,503913020
,,200817160,Enabled,200817160
,,805448250,Enabled,805448250
,,706713010,Enabled,706713010
,,335991110,Enabled,335991110
,,305186420,Enabled,305186420
,,565883200,Enabled,565883200
,,117203400,Enabled,117203400
,,812101290,Enabled,812101290
,,811452270,Enabled,811452270
,,112256360,Enabled,112256360
,,105990382,Enabled,105990382
,,813618240,Enabled,813618240
,,314348360,Enabled,314348360
,,203016010,Enabled,203016010
,,335901360,Enabled,335901360
,,331821360,Enabled,331821360
,,457827160,Enabled,457827160
,,169017300,Enabled,169017300
,,103534380,Enabled,103534380
,,301239380,Enabled,301239380
,,336564360,Enabled,336564360
,,810492230,Enabled,810492230
,,333193380,Enabled,333193380
,,393299380,Enabled,393299380
,,701066010,Enabled,701066010
,,108219360,Enabled,108219360
,,700988010,Enabled,700988010
,,153955360,Enabled,153955360
,,804585230,Enabled,804585230
,,204131060,Enabled,204131060
,,805124250,Enabled,805124250
,,263600100,Enabled,263600100
