product_id,status
100011420.0,Enabled
310271360.0,Enabled
312331070.0,Enabled
306143380.0,Enabled
331739320.0,Enabled
165902420.0,Enabled
114934010.0,Enabled
178307360.0,Enabled
846627290.0,Enabled
300766130.0,Enabled
183000400.0,Enabled
401475060.0,Enabled
339454380.0,Enabled
457161060.0,Enabled
340769090.0,Enabled
100881380.0,Enabled
336739110.0,Enabled
204072120.0,Enabled
100849440.0,Enabled
466772080.0,Enabled
800790260.0,Enabled
338406130.0,Enabled
501053000.0,Enabled
338879150.0,Enabled
880972230.0,Enabled
813953270.0,Enabled
319139130.0,Enabled
707336010.0,Enabled
101725400.0,Enabled
809806250.0,Enabled
306654130.0,Enabled
505466003.0,Enabled
463749140.0,Enabled
203156090.0,Enabled
462177080.0,Enabled
474377060.0,Enabled
501603018.0,Enabled
500716010.0,Enabled
152038340.0,Enabled
100453380.0,Enabled
706606010.0,Enabled
339953320.0,Enabled
503747350.0,Enabled
258500100.0,Enabled
313120050.0,Enabled
250311040.0,Enabled
806679290.0,Enabled
156637380.0,Enabled
817058255.0,Enabled
296549040.0,Enabled
318511010.0,Enabled
718256010.0,Enabled
318215050.0,Enabled
338205110.0,Enabled
501672024.0,Enabled
316294090.0,Enabled
501881010.0,Enabled
743416050.0,Enabled
800702300.0,Enabled
101136360.0,Enabled
319440340.0,Enabled
347252130.0,Enabled
805572270.0,Enabled
164492330.0,Enabled
170155300.0,Enabled
204396180.0,Enabled
142782360.0,Enabled
810647220.0,Enabled
114225280.0,Enabled
307520130.0,Enabled
502728300.0,Enabled
480261080.0,Enabled
261783090.0,Enabled
402808140.0,Enabled
814970260.0,Enabled
403589140.0,Enabled
309976320.0,Enabled
317349130.0,Enabled
320488323.0,Enabled
202348160.0,Enabled
863399270.0,Enabled
335024010.0,Enabled
812942280.0,Enabled
809033220.0,Enabled
112206420.0,Enabled
507703300.0,Enabled
329185300.0,Enabled
337253110.0,Enabled
321776150.0,Enabled
177507380.0,Enabled
152744010.0,Enabled
100664400.0,Enabled
300710070.0,Enabled
800836280.0,Enabled
307208380.0,Enabled
570733018.0,Enabled
816035260.0,Enabled
809488250.0,Enabled
817204300.0,Enabled
184177010.0,Enabled
117024010.0,Enabled
805879220.0,Enabled
378682130.0,Enabled
501107200.0,Enabled
313464110.0,Enabled
252638100.0,Enabled
339071010.0,Enabled
264638090.0,Enabled
801112225.0,Enabled
805617260.0,Enabled
584616024.0,Enabled
816271310.0,Enabled
172507420.0,Enabled
720551010.0,Enabled
